,Player,Game,Pts*,XPA,XPM,FGA,FGM,50+,Week,Position,Year,Target
15,Matt Bryant,ATL@NO,7.0,1,1,2,2,0,16,K,2017,18.0
16,Jake Elliott,OAK@PHI,7.0,1,1,3,2,0,16,K,2017,4.0
17,Cody Parkey,MIA@KC,7.0,1,1,3,2,0,16,K,2017,4.0
18,Phil Dawson,NYG@ARI,5.0,3,2,1,1,0,16,K,2017,16.0
19,Josh Lambo,JAX@SF,5.0,3,2,1,1,0,16,K,2017,4.0
20,Matt Prater,DET@CIN,5.0,2,2,2,1,0,16,K,2017,9.0
21,Giorgio Tavecchio,OAK@PHI,4.0,1,1,2,1,0,16,K,2017,4.0
22,Sam Ficken,LA@TEN,3.0,4,3,1,0,0,16,K,2017,7.0
23,Zane Gonzalez,CLE@CHI,3.0,0,0,1,1,0,16,K,2017,8.0
24,Brandon McManus,DEN@WAS,3.0,0,0,1,1,0,16,K,2017,6.0
25,Blair Walsh,SEA@DAL,3.0,3,3,0,0,0,16,K,2017,6.0
26,Mike Nugent,CLE@CHI,2.0,3,2,0,0,0,16,K,2017,6.0
27,Nick Rose,LAC@NYJ,2.0,2,2,1,0,0,16,K,2017,6.0
28,Chandler Catanzaro,LAC@NYJ,1.0,1,1,0,0,0,16,K,2017,6.0
29,Aldrick Rosas,NYG@ARI,0.0,0,0,1,0,0,16,K,2017,6.0
0,Matt Bryant,CAR@ATL,18.0,1,1,5,5,1,17,K,2017,8.0
1,Phil Dawson,ARI@SEA,16.0,2,2,4,4,1,17,K,2017,2.0
2,Robbie Gould,SF@LA,10.0,4,4,2,2,0,17,K,2017,10.0
3,Stephen Hauschka,BUF@MIA,10.0,1,1,3,3,0,17,K,2017,3.0
4,Adam Vinatieri,HOU@IND,10.0,2,2,2,2,1,17,K,2017,13.0
5,Harrison Butker,KC@DEN,9.0,3,3,2,2,0,17,K,2017,8.0
6,Ka'imi Fairbairn,HOU@IND,9.0,1,1,2,2,1,17,K,2017,8.0
7,Matt Prater,GB@DET,9.0,3,3,2,2,0,17,K,2017,5.0
8,Ryan Succop,JAX@TEN,9.0,1,0,3,3,0,17,K,2017,10.0
9,Justin Tucker,CIN@BAL,9.0,3,3,2,2,0,17,K,2017,11.0
10,Zane Gonzalez,CLE@PIT,8.0,3,3,1,1,1,17,K,2017,3.0
11,Randy Bullock,CIN@BAL,7.0,4,4,1,1,0,17,K,2017,10.0
12,Sam Ficken,SF@LA,7.0,1,1,2,2,0,17,K,2017,5.0
13,Chandler Catanzaro,NYJ@NE,6.0,0,0,3,2,0,17,K,2017,12.0
14,Stephen Gostkowski,NYJ@NE,6.0,3,3,1,1,0,17,K,2017,9.0
15,Wil Lutz,NO@TB,6.0,3,3,1,1,0,17,K,2017,6.0
16,Brandon McManus,KC@DEN,6.0,3,3,1,1,0,17,K,2017,13.0
17,Mike Nugent,CHI@MIN,6.0,1,1,1,1,1,17,K,2017,7.0
18,Aldrick Rosas,WAS@NYG,6.0,1,0,2,2,0,17,K,2017,9.0
19,Nick Rose,OAK@LAC,6.0,4,3,2,1,0,17,K,2017,
20,Blair Walsh,ARI@SEA,6.0,3,3,2,1,0,17,K,2017,
21,Patrick Murray,NO@TB,5.0,3,2,1,1,0,17,K,2017,
22,Chris Boswell,CLE@PIT,4.0,4,4,0,0,0,17,K,2017,3.0
23,Graham Gano,CAR@ATL,4.0,1,1,1,1,0,17,K,2017,4.0
24,Dustin Hopkins,WAS@NYG,4.0,1,1,2,1,0,17,K,2017,6.0
25,Josh Lambo,JAX@TEN,4.0,1,1,1,1,0,17,K,2017,8.0
26,Cody Parkey,BUF@MIA,4.0,1,1,1,1,0,17,K,2017,11.0
27,Giorgio Tavecchio,OAK@LAC,4.0,1,1,1,1,0,17,K,2017,15.0
28,Mason Crosby,GB@DET,3.0,0,0,1,1,0,17,K,2017,6.0
29,Kai Forbath,CHI@MIN,3.0,3,3,1,0,0,17,K,2017,7.0
30,Dan Bailey,DAL@PHI,0.0,1,0,1,0,0,17,K,2017,11.0
0,Greg Zuerlein,LA@OAK,17.0,3,3,5,4,1,1,K,2018,13.0
1,Brandon McManus,SEA@DEN,13.0,3,3,2,2,2,1,K,2018,8.0
2,Adam Vinatieri,CIN@IND,13.0,2,2,4,3,1,1,K,2018,3.0
3,Chandler Catanzaro,TB@NO,12.0,6,6,3,2,0,1,K,2018,3.0
4,Jason Myers,NYJ@DET,12.0,6,6,2,2,0,1,K,2018,8.0
5,Cody Parkey,CHI@GB,11.0,2,2,3,3,0,1,K,2018,6.0
6,Justin Tucker,BUF@BAL,11.0,5,5,2,2,0,1,K,2018,7.0
7,Randy Bullock,CIN@IND,10.0,4,4,2,2,0,1,K,2018,10.0
8,Robbie Gould,SF@MIN,10.0,1,1,3,3,0,1,K,2018,12.0
9,Ryan Succop,TEN@MIA,10.0,2,2,2,2,1,1,K,2018,8.0
10,Stephen Gostkowski,HOU@NE,9.0,3,3,2,2,0,1,K,2018,8.0
11,Aldrick Rosas,JAX@NYG,9.0,0,0,3,3,0,1,K,2018,7.0
12,Jason Sanders,TEN@MIA,9.0,3,3,2,2,0,1,K,2018,2.0
13,Matt Bryant,ATL@PHI,8.0,1,0,2,2,1,1,K,2018,7.0
14,Harrison Butker,KC@LAC,8.0,5,5,1,1,0,1,K,2018,6.0
15,Ka'imi Fairbairn,HOU@NE,8.0,2,2,2,2,0,1,K,2018,5.0
16,Josh Lambo,JAX@NYG,8.0,2,2,2,2,0,1,K,2018,7.0
17,Mike Nugent,LA@OAK,7.0,1,1,2,2,0,1,K,2018,7.0
18,Daniel Carlson,SF@MIN,6.0,3,3,1,1,0,1,K,2018,3.0
19,Mason Crosby,CHI@GB,6.0,3,3,1,1,0,1,K,2018,17.0
20,Dustin Hopkins,WAS@ARI,6.0,3,3,1,1,0,1,K,2018,9.0
21,Sebastian Janikowski,SEA@DEN,6.0,3,3,2,1,0,1,K,2018,7.0
22,Wil Lutz,TB@NO,6.0,3,3,1,1,0,1,K,2018,7.0
23,Caleb Sturgis,KC@LAC,6.0,0,0,3,2,0,1,K,2018,7.0
24,Matt Prater,NYJ@DET,5.0,2,2,3,1,0,1,K,2018,9.0
25,Jake Elliott,ATL@PHI,4.0,1,1,1,1,0,1,K,2018,3.0
26,Graham Gano,DAL@CAR,4.0,1,1,1,1,0,1,K,2018,8.0
27,Chris Boswell,PIT@CLE,3.0,3,3,1,0,0,1,K,2018,3.0
28,Zane Gonzalez,PIT@CLE,3.0,3,3,1,0,0,1,K,2018,6.0
29,Stephen Hauschka,BUF@BAL,3.0,0,0,2,1,0,1,K,2018,8.0
30,Brett Maher,DAL@CAR,0.0,0,0,1,0,0,1,K,2018,8.0
0,Mason Crosby,MIN@GB,17.0,2,2,6,5,0,2,K,2018,5.0
1,Robbie Gould,DET@SF,12.0,3,3,3,3,0,2,K,2018,7.0
2,Randy Bullock,BAL@CIN,10.0,4,4,2,2,0,2,K,2018,3.0
3,Dustin Hopkins,IND@WAS,9.0,0,0,4,3,0,2,K,2018,7.0
4,Matt Prater,DET@SF,9.0,3,3,2,2,0,2,K,2018,14.0
5,Graham Gano,CAR@ATL,8.0,3,3,1,1,1,2,K,2018,7.0
6,Stephen Gostkowski,NE@JAX,8.0,2,2,3,2,0,2,K,2018,4.0
7,Stephen Hauschka,LAC@BUF,8.0,2,2,2,2,0,2,K,2018,11.0
8,Brett Maher,NYG@DAL,8.0,2,2,2,2,0,2,K,2018,9.0
9,Brandon McManus,OAK@DEN,8.0,2,2,2,2,0,2,K,2018,2.0
10,Jason Myers,MIA@NYJ,8.0,1,0,2,2,1,2,K,2018,5.0
11,Ryan Succop,HOU@TEN,8.0,2,2,2,2,0,2,K,2018,9.0
12,Matt Bryant,CAR@ATL,7.0,4,4,1,1,0,2,K,2018,3.0
13,Sebastian Janikowski,SEA@CHI,7.0,2,2,1,1,1,2,K,2018,6.0
14,Josh Lambo,NE@JAX,7.0,4,4,1,1,0,2,K,2018,6.0
15,Wil Lutz,CLE@NO,7.0,1,1,3,2,0,2,K,2018,13.0
16,Mike Nugent,OAK@DEN,7.0,2,1,2,2,0,2,K,2018,10.0
17,Aldrick Rosas,NYG@DAL,7.0,1,1,2,2,0,2,K,2018,9.0
18,Caleb Sturgis,LAC@BUF,7.0,4,4,1,1,0,2,K,2018,5.0
19,Justin Tucker,BAL@CIN,7.0,2,2,1,1,1,2,K,2018,13.0
20,Harrison Butker,KC@PIT,6.0,6,6,0,0,0,2,K,2018,8.0
21,Zane Gonzalez,CLE@NO,6.0,2,0,4,2,0,2,K,2018,8.0
22,Cody Parkey,SEA@CHI,6.0,3,3,1,1,0,2,K,2018,10.0
23,Ka'imi Fairbairn,HOU@TEN,5.0,2,2,2,1,0,2,K,2018,12.0
24,Chris Boswell,KC@PIT,3.0,4,3,1,0,0,2,K,2018,6.0
25,Daniel Carlson,MIN@GB,3.0,3,3,3,0,0,2,K,2018,4.0
26,Chandler Catanzaro,PHI@TB,3.0,4,3,0,0,0,2,K,2018,9.0
27,Jake Elliott,PHI@TB,3.0,3,3,1,0,0,2,K,2018,8.0
28,Adam Vinatieri,IND@WAS,3.0,3,3,0,0,0,2,K,2018,10.0
29,Jason Sanders,MIA@NYJ,2.0,3,2,0,0,0,2,K,2018,4.0
0,Matt Prater,NE@DET,14.0,2,2,4,4,0,3,K,2018,6.0
1,Wil Lutz,NO@ATL,13.0,4,4,3,3,0,3,K,2018,15.0
2,Justin Tucker,DEN@BAL,13.0,3,3,3,2,2,3,K,2018,14.0
3,Ka'imi Fairbairn,NYG@HOU,12.0,1,1,3,3,1,3,K,2018,13.0
4,Stephen Hauschka,BUF@MIN,11.0,3,3,2,2,1,3,K,2018,7.0
5,Mike Nugent,OAK@MIA,10.0,2,2,2,2,1,3,K,2018,9.0
6,Cody Parkey,CHI@ARI,10.0,1,1,4,3,0,3,K,2018,14.0
7,Adam Vinatieri,IND@PHI,10.0,1,1,3,3,0,3,K,2018,8.0
8,Chandler Catanzaro,PIT@TB,9.0,3,3,2,2,0,3,K,2018,4.0
9,Brett Maher,DAL@SEA,9.0,1,1,2,2,1,3,K,2018,14.0
10,Aldrick Rosas,NYG@HOU,9.0,3,3,2,2,0,3,K,2018,4.0
11,Ryan Succop,TEN@JAX,9.0,0,0,4,3,0,3,K,2018,8.0
12,Harrison Butker,SF@KC,8.0,5,5,1,1,0,3,K,2018,9.0
13,Jake Elliott,IND@PHI,8.0,2,2,3,2,0,3,K,2018,11.0
14,Graham Gano,CIN@CAR,7.0,4,4,1,1,0,3,K,2018,17.0
15,Robbie Gould,SF@KC,7.0,2,1,2,2,0,3,K,2018,9.0
16,Dustin Hopkins,GB@WAS,7.0,4,4,1,1,0,3,K,2018,9.0
17,Greg Joseph,NYJ@CLE,7.0,1,1,2,2,0,3,K,2018,8.0
18,Chris Boswell,PIT@TB,6.0,4,3,2,1,0,3,K,2018,6.0
19,Sebastian Janikowski,DAL@SEA,6.0,3,3,1,1,0,3,K,2018,10.0
20,Josh Lambo,TEN@JAX,6.0,0,0,2,2,0,3,K,2018,13.0
21,Mason Crosby,GB@WAS,5.0,2,2,1,1,0,3,K,2018,14.0
22,Sam Ficken,LAC@LA,5.0,5,5,1,0,0,3,K,2018,8.0
23,Jason Myers,NYJ@CLE,5.0,2,2,1,1,0,3,K,2018,6.0
24,Caleb Sturgis,LAC@LA,5.0,3,2,1,1,0,3,K,2018,9.0
25,Stephen Gostkowski,NE@DET,4.0,1,1,1,1,0,3,K,2018,8.0
26,Jason Sanders,OAK@MIA,4.0,4,4,0,0,0,3,K,2018,1.0
27,Matt Bryant,NO@ATL,3.0,3,3,0,0,0,3,K,2018,14.0
28,Randy Bullock,CIN@CAR,3.0,3,3,1,0,0,3,K,2018,7.0
29,Phil Dawson,CHI@ARI,2.0,2,2,0,0,0,3,K,2018,5.0
30,Brandon McManus,DEN@BAL,2.0,2,2,0,0,0,3,K,2018,11.0
0,Wil Lutz,NO@NYG,15.0,3,3,4,4,0,4,K,2018,7.0
1,Matt Bryant,CIN@ATL,14.0,3,3,3,3,1,4,K,2018,5.0
2,Mason Crosby,BUF@GB,14.0,2,1,3,3,2,4,K,2018,3.0
3,Brett Maher,DET@DAL,14.0,2,2,4,4,0,4,K,2018,10.0
4,Cody Parkey,TB@CHI,14.0,6,6,2,2,1,4,K,2018,4.0
5,Justin Tucker,BAL@PIT,14.0,2,2,4,4,0,4,K,2018,9.0
6,Ka'imi Fairbairn,HOU@IND,13.0,4,4,4,3,0,4,K,2018,13.0
7,Josh Lambo,NYJ@JAX,13.0,2,2,3,3,1,4,K,2018,2.0
8,Matthew McCrane,CLE@OAK,13.0,4,4,5,3,0,4,K,2018,4.0
9,Dan Bailey,MIN@LA,11.0,2,2,3,3,0,4,K,2018,13.0
10,Jake Elliott,PHI@TEN,11.0,2,2,3,3,0,4,K,2018,7.0
11,Brandon McManus,KC@DEN,11.0,2,2,3,3,0,4,K,2018,4.0
12,Sebastian Janikowski,SEA@ARI,10.0,2,2,4,2,1,4,K,2018,9.0
13,Harrison Butker,KC@DEN,9.0,3,3,2,2,0,4,K,2018,12.0
14,Robbie Gould,SF@LAC,9.0,3,3,2,2,0,4,K,2018,0.0
15,Caleb Sturgis,SF@LAC,9.0,2,0,4,3,0,4,K,2018,8.0
16,Sam Ficken,MIN@LA,8.0,5,5,2,1,0,4,K,2018,3.0
17,Stephen Gostkowski,MIA@NE,8.0,5,5,1,1,0,4,K,2018,8.0
18,Greg Joseph,CLE@OAK,8.0,2,2,2,2,0,4,K,2018,6.0
19,Ryan Succop,PHI@TEN,8.0,2,2,2,2,0,4,K,2018,16.0
20,Adam Vinatieri,HOU@IND,8.0,2,2,2,2,0,4,K,2018,8.0
21,Randy Bullock,CIN@ATL,7.0,4,4,1,1,0,4,K,2018,11.0
22,Chris Boswell,BAL@PIT,6.0,0,0,2,2,0,4,K,2018,5.0
23,Jason Myers,NYJ@JAX,6.0,0,0,2,2,0,4,K,2018,10.0
24,Matt Prater,DET@DAL,6.0,3,3,1,1,0,4,K,2018,7.0
25,Phil Dawson,SEA@ARI,5.0,2,2,3,1,0,4,K,2018,4.0
26,Chandler Catanzaro,TB@CHI,4.0,1,1,1,1,0,4,K,2018,5.0
27,Aldrick Rosas,NO@NYG,4.0,1,1,1,1,0,4,K,2018,13.0
28,Jason Sanders,MIA@NE,1.0,1,1,0,0,0,4,K,2018,5.0
0,Graham Gano,NYG@CAR,17.0,3,3,4,4,1,5,K,2018,3.0
1,Ryan Succop,TEN@BUF,16.0,0,0,4,4,2,5,K,2018,7.0
2,Dan Bailey,MIN@PHI,13.0,2,2,5,3,1,5,K,2018,9.0
3,Ka'imi Fairbairn,DAL@HOU,13.0,1,1,5,4,0,5,K,2018,8.0
4,Aldrick Rosas,NYG@CAR,13.0,2,2,3,3,1,5,K,2018,7.0
5,Harrison Butker,JAX@KC,12.0,3,3,3,3,0,5,K,2018,16.0
6,Randy Bullock,MIA@CIN,11.0,3,3,3,2,1,5,K,2018,3.0
7,Brett Maher,DAL@HOU,10.0,1,1,3,3,0,5,K,2018,20.0
8,Jason Myers,DEN@NYJ,10.0,4,4,3,2,0,5,K,2018,24.0
9,Dustin Hopkins,WAS@NO,9.0,1,1,2,2,1,5,K,2018,13.0
10,Sebastian Janikowski,LA@SEA,9.0,4,4,1,1,1,5,K,2018,9.0
11,Cairo Santos,LA@SEA,9.0,4,3,2,2,0,5,K,2018,11.0
12,Justin Tucker,BAL@CLE,9.0,0,0,4,3,0,5,K,2018,3.0
13,Stephen Gostkowski,IND@NE,8.0,5,5,1,1,0,5,K,2018,21.0
14,Caleb Sturgis,OAK@LAC,8.0,3,2,3,2,0,5,K,2018,1.0
15,Adam Vinatieri,IND@NE,8.0,3,3,2,1,1,5,K,2018,10.0
16,Jake Elliott,MIN@PHI,7.0,1,1,2,2,0,5,K,2018,10.0
17,Stephen Hauschka,TEN@BUF,7.0,1,1,2,2,0,5,K,2018,9.0
18,Wil Lutz,WAS@NO,7.0,5,4,1,1,0,5,K,2018,6.0
19,Matt Prater,GB@DET,7.0,4,4,2,1,0,5,K,2018,16.0
20,Greg Joseph,BAL@CLE,6.0,1,0,3,2,0,5,K,2018,6.0
21,Chris Boswell,ATL@PIT,5.0,6,5,0,0,0,5,K,2018,8.0
22,Matt Bryant,ATL@PIT,5.0,2,2,1,1,0,5,K,2018,12.0
23,Jason Sanders,MIA@CIN,5.0,2,2,1,1,0,5,K,2018,13.0
24,Phil Dawson,ARI@SF,4.0,4,4,0,0,0,5,K,2018,5.0
25,Matthew McCrane,OAK@LAC,4.0,1,1,2,1,0,5,K,2018,3.0
26,Brandon McManus,DEN@NYJ,4.0,1,1,1,1,0,5,K,2018,8.0
27,Mason Crosby,GB@DET,3.0,1,0,5,1,0,5,K,2018,17.0
28,Josh Lambo,JAX@KC,2.0,2,2,0,0,0,5,K,2018,1.0
29,Robbie Gould,ARI@SF,0.0,0,0,1,0,0,5,K,2018,12.0
0,Jason Myers,IND@NYJ,24.0,3,3,7,7,0,6,K,2018,7.0
1,Stephen Gostkowski,KC@NE,21.0,4,4,5,5,1,6,K,2018,8.0
2,Brett Maher,JAX@DAL,20.0,4,4,4,4,2,6,K,2018,5.0
3,Mason Crosby,SF@GB,17.0,3,3,4,4,1,6,K,2018,11.0
4,Harrison Butker,KC@NE,16.0,4,4,4,4,0,6,K,2018,9.0
5,Dustin Hopkins,CAR@WAS,13.0,2,2,3,3,1,6,K,2018,8.0
6,Jason Sanders,CHI@MIA,13.0,2,2,3,3,1,6,K,2018,3.0
7,Matt Bryant,TB@ATL,12.0,4,4,2,2,1,6,K,2018,15.0
8,Robbie Gould,SF@GB,12.0,3,3,3,3,0,6,K,2018,6.0
9,Cairo Santos,LA@DEN,11.0,2,2,4,3,0,6,K,2018,5.0
10,Jake Elliott,PHI@NYG,10.0,4,4,3,2,0,6,K,2018,5.0
11,Adam Vinatieri,IND@NYJ,10.0,4,4,2,2,0,6,K,2018,5.0
12,Dan Bailey,ARI@MIN,9.0,3,3,2,2,0,6,K,2018,13.0
13,Stephen Hauschka,BUF@HOU,9.0,1,1,2,2,1,6,K,2018,3.0
14,Sebastian Janikowski,SEA@OAK,9.0,3,3,2,2,0,6,K,2018,4.0
15,Michael Badgley,LAC@CLE,8.0,5,5,1,1,0,6,K,2018,8.0
16,Chris Boswell,PIT@CIN,8.0,2,2,2,2,0,6,K,2018,7.0
17,Ka'imi Fairbairn,BUF@HOU,8.0,2,2,2,2,0,6,K,2018,8.0
18,Brandon McManus,LA@DEN,8.0,2,2,2,2,0,6,K,2018,9.0
19,Aldrick Rosas,PHI@NYG,7.0,1,1,3,2,0,6,K,2018,6.0
20,Greg Joseph,LAC@CLE,6.0,0,0,2,2,0,6,K,2018,3.0
21,Chandler Catanzaro,TB@ATL,5.0,3,2,1,1,0,6,K,2018,10.0
22,Phil Dawson,ARI@MIN,5.0,2,2,1,1,0,6,K,2018,4.0
23,Cody Parkey,CHI@MIA,4.0,4,4,1,0,0,6,K,2018,7.0
24,Randy Bullock,PIT@CIN,3.0,3,3,0,0,0,6,K,2018,4.0
25,Graham Gano,CAR@WAS,3.0,1,0,1,1,0,6,K,2018,1.0
26,Matthew McCrane,SEA@OAK,3.0,0,0,2,1,0,6,K,2018,3.0
27,Justin Tucker,BAL@TEN,3.0,3,3,0,0,0,6,K,2018,5.0
28,Josh Lambo,JAX@DAL,1.0,1,1,0,0,0,6,K,2018,1.0
0,Matt Prater,DET@MIA,16.0,2,2,4,4,1,7,K,2018,2.0
1,Giorgio Tavecchio,NYG@ATL,15.0,2,2,3,3,2,7,K,2018,8.0
2,Dan Bailey,MIN@NYJ,13.0,4,4,4,3,0,7,K,2018,2.0
3,Greg Zuerlein,LA@SF,13.0,4,4,3,3,0,7,K,2018,7.0
4,Chandler Catanzaro,CLE@TB,10.0,3,2,3,2,1,7,K,2018,8.0
5,Harrison Butker,CIN@KC,9.0,6,6,2,1,0,7,K,2018,6.0
6,Brandon McManus,DEN@ARI,9.0,6,6,1,1,0,7,K,2018,5.0
7,Michael Badgley,TEN@LAC,8.0,2,2,2,2,0,7,K,2018,8.0
8,Ka'imi Fairbairn,HOU@JAX,8.0,2,2,2,2,0,7,K,2018,6.0
9,Stephen Gostkowski,NE@CHI,8.0,5,5,1,1,0,7,K,2018,13.0
10,Dustin Hopkins,DAL@WAS,8.0,2,2,2,2,0,7,K,2018,10.0
11,Jason Myers,MIN@NYJ,7.0,2,2,1,1,1,7,K,2018,4.0
12,Cody Parkey,NE@CHI,7.0,4,4,1,1,0,7,K,2018,6.0
13,Ryan Succop,TEN@LAC,7.0,1,1,3,2,0,7,K,2018,4.0
14,Robbie Gould,LA@SF,6.0,1,1,1,1,1,7,K,2018,7.0
15,Wil Lutz,NO@BAL,6.0,3,3,1,1,0,7,K,2018,14.0
16,Aldrick Rosas,NYG@ATL,6.0,0,0,2,2,0,7,K,2018,7.0
17,Jake Elliott,CAR@PHI,5.0,2,2,2,1,0,7,K,2018,6.0
18,Brett Maher,DAL@WAS,5.0,2,2,2,1,0,7,K,2018,2.0
19,Justin Tucker,NO@BAL,5.0,3,2,1,1,0,7,K,2018,3.0
20,Adam Vinatieri,BUF@IND,5.0,4,2,1,1,0,7,K,2018,10.0
21,Randy Bullock,CIN@KC,4.0,1,1,1,1,0,7,K,2018,7.0
22,Phil Dawson,DEN@ARI,4.0,1,1,1,1,0,7,K,2018,4.0
23,Stephen Hauschka,BUF@IND,3.0,0,0,1,1,0,7,K,2018,8.0
24,Greg Joseph,CLE@TB,3.0,3,3,0,0,0,7,K,2018,6.0
25,Jason Sanders,DET@MIA,3.0,3,3,1,0,0,7,K,2018,11.0
26,Graham Gano,CAR@PHI,1.0,2,1,0,0,0,7,K,2018,14.0
27,Josh Lambo,HOU@JAX,1.0,1,1,0,0,0,7,K,2018,16.0
0,Josh Lambo,PHI@JAX,16.0,0,0,4,4,2,8,K,2018,10.0
1,Graham Gano,BAL@CAR,14.0,3,3,3,3,1,8,K,2018,6.0
2,Wil Lutz,NO@MIN,14.0,3,3,3,3,1,8,K,2018,11.0
3,Stephen Gostkowski,NE@BUF,13.0,1,1,5,4,0,8,K,2018,7.0
4,Mason Crosby,GB@LA,11.0,3,3,2,2,1,8,K,2018,5.0
5,Jason Sanders,MIA@HOU,11.0,2,2,3,3,0,8,K,2018,7.0
6,Dustin Hopkins,WAS@NYG,10.0,2,2,3,2,1,8,K,2018,2.0
7,Adam Vinatieri,IND@OAK,10.0,4,4,2,2,0,8,K,2018,3.0
8,Chandler Catanzaro,TB@CIN,8.0,3,2,2,2,0,8,K,2018,4.0
9,Stephen Hauschka,NE@BUF,8.0,0,0,2,2,1,8,K,2018,3.0
10,Chris Boswell,CLE@PIT,7.0,4,4,1,1,0,8,K,2018,5.0
11,Randy Bullock,TB@CIN,7.0,5,4,1,1,0,8,K,2018,2.0
12,Robbie Gould,SF@ARI,7.0,1,1,2,2,0,8,K,2018,10.0
13,Aldrick Rosas,WAS@NYG,7.0,1,1,2,2,0,8,K,2018,9.0
14,Greg Zuerlein,GB@LA,7.0,1,1,2,2,0,8,K,2018,11.0
15,Harrison Butker,DEN@KC,6.0,4,3,1,1,0,8,K,2018,7.0
16,Jake Elliott,PHI@JAX,6.0,3,3,1,1,0,8,K,2018,10.0
17,Ka'imi Fairbairn,MIA@HOU,6.0,6,6,0,0,0,8,K,2018,7.0
18,Greg Joseph,CLE@PIT,6.0,1,0,3,2,0,8,K,2018,5.0
19,Cody Parkey,NYJ@CHI,6.0,3,3,2,1,0,8,K,2018,11.0
20,Brandon McManus,DEN@KC,5.0,2,2,2,1,0,8,K,2018,5.0
21,Daniel Carlson,IND@OAK,4.0,4,4,0,0,0,8,K,2018,3.0
22,Phil Dawson,SF@ARI,4.0,1,1,1,1,0,8,K,2018,2.0
23,Sebastian Janikowski,SEA@DET,4.0,4,4,0,0,0,8,K,2018,5.0
24,Jason Myers,NYJ@CHI,4.0,1,1,1,1,0,8,K,2018,8.0
25,Justin Tucker,BAL@CAR,3.0,3,3,0,0,0,8,K,2018,10.0
26,Dan Bailey,NO@MIN,2.0,3,2,0,0,0,8,K,2018,6.0
27,Matt Prater,SEA@DET,2.0,2,2,0,0,0,8,K,2018,9.0
0,Wil Lutz,LA@NO,11.0,6,6,1,1,1,9,K,2018,15.0
1,Cody Parkey,CHI@BUF,11.0,5,5,2,2,0,9,K,2018,2.0
2,Greg Zuerlein,LA@NO,11.0,3,3,3,2,1,9,K,2018,12.0
3,Robbie Gould,OAK@SF,10.0,4,4,2,2,0,9,K,2018,13.0
4,Justin Tucker,PIT@BAL,10.0,1,1,3,3,0,9,K,2018,12.0
5,Matt Prater,DET@MIN,9.0,0,0,3,3,0,9,K,2018,6.0
6,Jason Myers,NYJ@MIA,8.0,0,0,3,2,1,9,K,2018,6.0
7,Giorgio Tavecchio,ATL@WAS,8.0,5,5,1,1,0,9,K,2018,4.0
8,Harrison Butker,KC@CLE,7.0,5,4,1,1,0,9,K,2018,8.0
9,Ka'imi Fairbairn,HOU@DEN,7.0,2,1,2,2,0,9,K,2018,13.0
10,Stephen Gostkowski,GB@NE,7.0,4,4,1,1,0,9,K,2018,6.0
11,Jason Sanders,NYJ@MIA,7.0,1,1,2,2,0,9,K,2018,12.0
12,Dan Bailey,DET@MIN,6.0,3,3,1,1,0,9,K,2018,6.0
13,Graham Gano,TB@CAR,6.0,6,6,0,0,0,9,K,2018,3.0
14,Chris Boswell,PIT@BAL,5.0,3,2,1,1,0,9,K,2018,12.0
15,Mason Crosby,GB@NE,5.0,2,2,1,1,0,9,K,2018,7.0
16,Sebastian Janikowski,LAC@SEA,5.0,2,2,2,1,0,9,K,2018,7.0
17,Greg Joseph,KC@CLE,5.0,0,0,1,1,1,9,K,2018,4.0
18,Brandon McManus,HOU@DEN,5.0,2,2,3,1,0,9,K,2018,5.0
19,Chandler Catanzaro,TB@CAR,4.0,4,4,0,0,0,9,K,2018,3.0
20,Ryan Succop,TEN@DAL,4.0,4,4,1,0,0,9,K,2018,10.0
21,Daniel Carlson,OAK@SF,3.0,0,0,2,1,0,9,K,2018,6.0
22,Stephen Hauschka,CHI@BUF,3.0,0,0,1,1,0,9,K,2018,13.0
23,Dustin Hopkins,ATL@WAS,2.0,2,2,0,0,0,9,K,2018,10.0
24,Brett Maher,TEN@DAL,2.0,2,2,1,0,0,9,K,2018,9.0
25,Caleb Sturgis,LAC@SEA,1.0,3,1,1,0,0,9,K,2018,
0,Wil Lutz,NO@CIN,15.0,6,6,3,3,0,10,K,2018,12.0
1,Robbie Gould,NYG@SF,13.0,2,2,3,3,1,10,K,2018,3.0
2,Stephen Hauschka,BUF@NYJ,13.0,5,5,2,2,1,10,K,2018,6.0
3,Chris Boswell,CAR@PIT,12.0,7,7,1,1,1,10,K,2018,2.0
4,Jason Sanders,MIA@GB,12.0,0,0,4,4,0,10,K,2018,6.0
5,Greg Zuerlein,SEA@LA,12.0,3,3,3,3,0,10,K,2018,12.0
6,Jake Elliott,DAL@PHI,10.0,2,2,2,2,1,10,K,2018,1.0
7,Dustin Hopkins,WAS@TB,10.0,1,1,3,3,0,10,K,2018,3.0
8,Josh Lambo,JAX@IND,10.0,3,2,3,2,1,10,K,2018,10.0
9,Ryan Succop,NE@TEN,10.0,4,4,2,2,0,10,K,2018,4.0
10,Brett Maher,DAL@PHI,9.0,3,3,3,2,0,10,K,2018,12.0
11,Aldrick Rosas,NYG@SF,9.0,3,3,2,2,0,10,K,2018,10.0
12,Michael Badgley,LAC@OAK,8.0,2,2,2,2,0,10,K,2018,10.0
13,Harrison Butker,ARI@KC,8.0,2,2,2,2,0,10,K,2018,9.0
14,Mason Crosby,MIA@GB,7.0,4,4,1,1,0,10,K,2018,6.0
